sku,manufacturer_guess,category_guess,room_name,archetype,level,hit_count_in_file,source_txt
AN-220-SW-R-24-POE,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Eisenach Eisenach P-19 AV Q-26 V2.pdf__158d39391742.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Eisenach Eisenach P-19 AV Q-26 V2.pdf__158d39391742.txt
EA-3,Control4,Controller,Select the EA-3 as the audio source in Kitchen,Kitchen,,141,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/GoodCode-RoomsNotProperlyJoining.pdf__6042c0854609.txt
EA-AMP-HYB-2D-1000,Control4,Controller,70V/8-ohm IP-Enabled Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Jack Wood 100 Casteel Ridge P-62 Landscape Audio Q-95 V2.pdf__d1caf652e22a.txt
EA-AMP-HYB-2D-1000,Control4,Controller,70V/8-ohm IP-Enabled Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Jack Wood 100 Casteel Ridge P-62.pdf__1dca37e2269a.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Joe Spencer 281 Fox Prowl P-73 Quote Q-113 V1.pdf__9511776bb31b.txt
AN-110-SW-R-8,Araknis,Networking,110 Series Unmanaged+ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Joe Spencer 281 Fox Prowl P-73 Quote Q-113 V1.pdf__9511776bb31b.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Joe Spencer 281 Fox Prowl P-73.pdf__825de1b46fb7.txt
AN-110-SW-R-8,Araknis,Networking,110 Series Unmanaged+ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Joe Spencer 281 Fox Prowl P-73.pdf__825de1b46fb7.txt
EA-DYN-16D-100,Control4,Controller,CHANGE ORDER 1,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Joe Spencer 281 Fox Prowl P-73.pdf__825de1b46fb7.txt
TS-AMS16,TS,Audio Matrix,"Subtotal: $2,597.85",Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Joe_Spencer_-_063025.pdf__d8788da05eca.txt
AMS-16,TS,Audio Matrix,Whole-Home Audio System,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
EA-DYN-16D-100,Control4,Controller,Whole-Home Audio System,Unknown,,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
AN-820-AP-I,Araknis,Networking,Large In-Ceiling Mounting Brackets,Unknown,,5,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
EA-AMP-SUB-1D-500R,Control4,Controller,500W Subwoofer Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
AN-520-RT,Araknis,Networking,520-Series Dual-WAN Rtr,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
AN-SFP-10-D-1,Araknis,Networking,1m SFP+ Transceiver Module,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
AN-420-SW-F-24-POE,Araknis,Networking,1m SFP+ Transceiver Module,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1-sent.pdf__c8d23209b30b.txt
